sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified
Non-Profit,Private Sector Development Officer,10,Development Officer,11648,Development Officer,12895
Non-Profit,Country Development Officer,10,Development Officer,11648,Development Officer,12895
Non-Profit,Livestock Development Officer,10,Development Officer,11648,Development Officer,12895
Non-Profit,Legacy Development Officer,10,Development Officer,11648,Development Officer,12895
Non-Profit,Athletic Development Officer,10,Development Officer,11648,Development Officer,12895
Non-Profit,Customer Development Officer,10,Development Officer,11648,Development Officer,12895
Non-Profit,Executive Development Officer,10,Executive Officer,4319,Executive Officer,4639
Non-Profit,Chief Development Officer Support Broker,10,Development Chief Officer,2184,Development Chief Officer,2184
Non-Profit,Senior Practice Development Officer,10,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Chief Economic Development Officer,10,Chief Officer,1873,Chief Officer,2866
Non-Profit,Major Gifts Senior Associate Director,10,Senior Associate Director,488,Senior Associate Director,510
Non-Profit,Development Associate Major Gifts,10,Major Gifts Associate,175,Major Gifts Associate,175
Non-Profit,Assistant Economic Development Officer,10,Assistant Development Officer,142,Assistant Development Officer,142
Non-Profit,Major Donors Fundraiser,10,Major Donor Fundraiser,98,Major Donor Fundraiser,98
Non-Profit,Prospect Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,European Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Client Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Women's Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Quality Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Adolescent Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,College Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Interim Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Web Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Graduate Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Cooperative Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Faculty Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Annual Fund,9,Development Officer,11648,Development Officer,12895
Non-Profit,Participation Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Senior Programme Development Officer,9,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Senior Development Officer Major Gifts,9,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Annual Giving Development Officer,9,Annual Giving Officer,263,Annual Giving Officer,263
Non-Profit,Funds Development Officer,9,Fund Development Officer,129,Fund Development Officer,129
Non-Profit,Major Gifts Deputy Director,8,Deputy Director,17117,Deputy Director,17695
Non-Profit,Environmental Development Officer,8,Development Officer,11648,Development Officer,12895
Non-Profit,Football Development Officer,8,Development Officer,11648,Development Officer,12895
Non-Profit,Livelihood Development Officer,8,Development Officer,11648,Development Officer,12895
Non-Profit,Talent Development Officer,8,Development Officer,11648,Development Officer,12895
Non-Profit,Micro Enterprise Development Officer,8,Development Officer,11648,Development Officer,12895
Non-Profit,Management Development Officer,8,Development Officer,11648,Development Officer,12895
Non-Profit,Inclusive Development Officer,8,Development Officer,11648,Development Officer,12895
Non-Profit,County Development Officer,8,Development Officer,11648,Development Officer,12895
Non-Profit,Member Development Officer,8,Development Officer,11648,Development Officer,12895
Non-Profit,Digital Development Officer,8,Development Officer,11648,Development Officer,12895
Non-Profit,Senior Social Development Officer,8,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Community Sports Development Officer,8,Community Development Officer,1794,Community Development Officer,1794
Non-Profit,Major Gifts Fundraising Manager,8,Major Gifts Manager,455,Manager,278939
Non-Profit,Senior Major Donor Fundraiser,8,Senior Fundraiser,430,Senior Fundraiser,430
Non-Profit,Development Officer Annual Giving,8,Annual Giving Officer,263,Annual Giving Officer,263
Non-Profit,Nonprofit Fundraiser,8,Non Profit Fundraiser,32,Non Profit Fundraiser,32
Non-Profit,Fundraiser Team Leader,7,Team Leader,29981,Team Leader,30286
Non-Profit,Chapter Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Strategy Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Media Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Material Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Gender Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Energy Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Partner Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Outreach Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Rugby Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Corporate Major Gifts Officer,7,Major Gifts Officer,2458,Major Gifts Officer,2458
Non-Profit,Senior Staff Development Officer,7,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Chief Fund Development Officer,7,Chief Officer,1873,Chief Officer,2866
Non-Profit,Rural Community Development Officer,7,Community Development Officer,1794,Community Development Officer,1794
Non-Profit,Community Fundraising Development Officer,7,Community Development Officer,1794,Community Development Officer,1794
Non-Profit,Principal Economic Development Officer,7,Principal Officer,690,Principal Officer,710
Non-Profit,Deputy Agency Development Officer,7,Deputy Officer,370,Deputy Officer,608
Non-Profit,Telephone Charity Fundraiser,7,Telephone Fundraiser,221,Telephone Fundraiser,221
Non-Profit,Donor Development Fundraiser,7,Donor Development,103,Donor Development,103
Non-Profit,Junior International Development Officer,7,Junior Development Officer,82,Junior Development Officer,82
Non-Profit,Major Gifts Development Assistant,7,Major Gifts Assistant,80,Assistant,99968
Non-Profit,Development Officer France,6,Development Officer,11648,Development Officer,12895
Non-Profit,Schools Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Operation Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Agribusiness Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,People Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Global Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Women Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,State Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Affiliate Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Information Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Council Development Officer,6,Development Officer,11648,Development Officer,12895
Non-Profit,Senior Youth Development Officer,6,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Senior Industrial Development Officer,6,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Major Gifts Senior Development Officer,6,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Senior Leadership Development Officer,6,Senior Development Officer,1944,Senior Development Officer,1944
Non-Profit,Chief Community Development Officer,6,Chief Officer,1873,Chief Officer,2866
Non-Profit,Major Gifts Interim Director,6,Major Gifts Director,1486,Director,216626
Non-Profit,Regional Philanthropy Officer,6,Regional Officer,1214,Regional Officer,1214
Non-Profit,Community Partnerships Fundraiser,6,Community Fundraiser,866,Community Fundraiser,866
Non-Profit,Regional Business Development Officer,6,Regional Development Officer,330,Regional Development Officer,330
Non-Profit,Professional Charity Fundraiser,6,Professional Fundraiser,221,Professional Fundraiser,221
Non-Profit,Volunteer Centre Development Officer,6,Volunteer Development Officer,95,Volunteer Development Officer,95
Non-Profit,Fisheries Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Union Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Instrument Technician Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Grants,5,Development Officer,11648,Development Officer,12895
Non-Profit,Spatial Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Human Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Portfolio Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Advocacy Development Officer,5,Development Officer,11648,Development Officer,12895
Non-Profit,Third Sector Development Officer,5,Development Officer,11648,Development Officer,12895
