sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified,,
Transportation & Logistics,Prospect Management Associate,1,Management Associate,439,Management Associate,439,,
Real Estate,Senior Prospect Manager,1,Senior Manager,12725,Senior Manager,16972,,
Real Estate,Prospect Research Analyst,1,Research Analyst,3756,Research Analyst,3756,,
Real Estate,Prospect Research Assistant,1,Research Assistant,3737,Research Assistant,3882,,
Real Estate,Prospect Research Manager,1,Research Manager,951,Research Manager,1125,,
Real Estate,Prospect Research Director,1,Research Director,820,Research Director,820,,
Real Estate,Prospect Research Development Associate Director,1,Development Associate Director,139,Development Associate Director,139,,
Real Estate,Prospecting Manager,26,Prospecting Manager,27,Manager,226337,,
Telecommunications,Prospect Development Consultant,1,Development Consultant,716,Development Consultant,828,,
"Oil, Gas, Energy & Utilities",Senior Prospect Manager,1,Senior Manager,20198,Senior Manager,24027,,
"Oil, Gas, Energy & Utilities",Prospect Development Manager,1,Development Manager,7556,Development Manager,10223,,
"Oil, Gas, Energy & Utilities",Prospect Research Analyst,3,Research Analyst,4064,Research Analyst,4271,,
"Oil, Gas, Energy & Utilities",Prospect Research Manager,1,Research Manager,1246,Research Manager,1366,,
"Oil, Gas, Energy & Utilities",Prospect Research Officer,1,Research Officer,1153,Research Officer,1153,,
"Oil, Gas, Energy & Utilities",Prospect Development Intern,1,Development Intern,1148,Development Intern,1268,,
"Oil, Gas, Energy & Utilities",Prospect Research Director,1,Research Director,903,Research Director,903,,
"Oil, Gas, Energy & Utilities",Prospect Manager,40,Prospect Manager,40,Manager,321149,,
"Oil, Gas, Energy & Utilities",Prospecting Manager,20,Prospecting Manager,24,Manager,321149,,
"Oil, Gas, Energy & Utilities",Prospect Research Administrator,1,Research Administrator,24,Research Administrator,24,,
Retail,Prospect Development Manager,2,Development Manager,15020,Development Manager,24378,,
Retail,Prospect Management Assistant Director,2,Assistant Director,7516,Assistant Director,8397,,
Retail,Prospect Research Intern,1,Research Intern,3054,Research Intern,3101,,
Retail,Prospect Research Analyst,2,Research Analyst,2549,Research Analyst,2732,,
Retail,Prospect Research Manager,3,Research Manager,1938,Research Manager,2327,,
Retail,Prospect Research Director,1,Research Director,820,Research Director,820,,
Retail,Prospect Research Officer,2,Research Officer,484,Research Officer,484,,
Retail,Prospecting Manager,36,Prospecting Manager,37,Manager,970890,,
Media,Prospect Research Assistant,4,Research Assistant,20864,Research Assistant,22140,,
Media,Prospect Research Student Assistant,1,Research Assistant,20864,Research Assistant,22140,,
Media,Prospect Research Intern,4,Research Intern,5585,Research Intern,5608,,
Media,Prospect Research Analyst,5,Research Analyst,4041,Research Analyst,4132,,
Media,Prospect Development Assistant,1,Development Assistant,3110,Development Assistant,3110,,
Media,Prospect Research Manager,2,Research Manager,2583,Research Manager,2815,,
Media,Prospect Research Director,5,Research Director,2081,Research Director,2138,,
Media,Senior Prospect Researcher,1,Senior Researcher,1518,Senior Researcher,1518,,
Media,Prospect Research Coordinator,4,Research Coordinator,1070,Research Coordinator,1171,,
Media,Prospect Research Officer,2,Research Officer,864,Research Officer,864,,
Media,Prospect Research Specialist,3,Research Specialist,636,Research Specialist,636,,
Media,Analyst Prospect Management,1,Management Analyst,556,Management Analyst,666,,
Media,Prospect Management Analyst,1,Management Analyst,556,Management Analyst,666,,
Media,Prospect Management Specialist,1,Management Specialist,378,Management Specialist,597,,
Media,Intern Prospecting Manager,1,Intern Manager,109,Intern Manager,109,,
Media,Prospect Research Associate Director,2,Associate Research Director,51,Associate Research Director,51,,
Media,Prospect Researcher,39,Prospect Researcher,40,Researcher,27349,,
Manufacturing,Senior Prospect Manager,1,Senior Manager,60922,Senior Manager,84814,,
Manufacturing,Prospect Development Manager,1,Development Manager,37328,Development Manager,61069,,
Manufacturing,Prospect Research Associate,2,Research Associate,21505,Research Associate,21715,,
Manufacturing,Prospecting Team Member,1,Team Member,15307,Team Member,16536,,
Manufacturing,Prospect Research Manager,1,Research Manager,8987,Research Manager,10520,,
Manufacturing,Prospect Research Analyst,2,Research Analyst,5940,Research Analyst,6217,,
Manufacturing,Prospecting Manager,54,Prospecting Manager,57,Manager,1341811,,
Insurance,Prospect Research Associate Director,1,Associate Director,4490,Associate Director,4521,,
Insurance,Prospect Management Associate Director,1,Associate Director,4490,Associate Director,4521,,
Insurance,Prospect Research Analyst,2,Research Analyst,2031,Research Analyst,2101,,
Insurance,Prospect Research Manager,1,Research Manager,355,Research Manager,469,,
Insurance,Prospect Management Coordinator,1,Management Coordinator,338,Management Coordinator,338,,
Insurance,Prospect Research Specialist,1,Research Specialist,290,Research Specialist,290,,
Insurance,Prospect Research Director,1,Research Director,219,Research Director,219,,
Information Technology,Prospect Research Assistant,17,Research Assistant,95092,Research Assistant,96385,,
Information Technology,Prospect Development Manager,2,Development Manager,48607,Development Manager,58064,,
Information Technology,Prospect Research Intern,3,Research Intern,26165,Research Intern,26470,,
Information Technology,Prospect Research Associate,2,Research Associate,17930,Research Associate,18113,,
Information Technology,Prospect Research Analyst,8,Research Analyst,13744,Research Analyst,17096,,
Information Technology,Prospect Development Director,1,Development Director,13007,Development Director,13546,,
Information Technology,Prospect Information Analyst,1,Information Analyst,11981,Information Analyst,12217,,
Information Technology,Prospect Management Assistant Director,3,Assistant Director,10626,Assistant Director,11695,,
Information Technology,Prospect Development Intern,1,Development Intern,9188,Development Intern,9468,,
Information Technology,Prospect Development Specialist,5,Development Specialist,5210,Development Specialist,5714,,
Information Technology,Prospect Research Manager,9,Research Manager,4929,Research Manager,5520,,
Information Technology,Prospect Research Director,6,Research Director,3923,Research Director,3923,,
Information Technology,Prospect Management Analyst,1,Management Analyst,3049,Management Analyst,11465,,
Information Technology,Senior Prospect Research Analyst,1,Senior Research Analyst,2263,Senior Research Analyst,2557,,
Information Technology,Prospect Research Student Assistant,1,Student Research Assistant,2229,Student Research Assistant,2229,,
Information Technology,Prospect Research Specialist,1,Research Specialist,2037,Research Specialist,2037,,
Information Technology,Prospect Research Officer,6,Research Officer,1956,Research Officer,1956,,
Information Technology,Prospect Research Consultant,2,Research Consultant,1858,Research Consultant,2134,,
Information Technology,Prospect Management Associate,3,Management Associate,1708,Management Associate,1754,,
Information Technology,Senior Prospect Research Associate,1,Senior Research Associate,1268,Senior Research Associate,1376,,
Information Technology,Prospect Development Associate,2,Development Associate,1188,Development Associate,1278,,
Information Technology,Prospect Research Coordinator,3,Research Coordinator,1148,Research Coordinator,1148,,
Information Technology,Prospect Management Director,2,Management Director,1114,Management Director,1698,,
Information Technology,Prospecting Account Development Representative,7,Account Development Representative,1036,Account Development Representative,1036,,
Information Technology,Prospect Management Coordinator,1,Management Coordinator,909,Management Coordinator,1067,,
Information Technology,Prospect Information Coordinator,2,Information Coordinator,693,Information Coordinator,693,,
Information Technology,Prospect Development Associate Director,1,Development Associate Director,267,Development Associate Director,267,,
