sector,title_cleaned,frequency_cleaned,title_generalized,frequency_generalized,title_simplified,frequency_simplified
Non-Profit,Development Officer Athletic,1,Development Officer,11648,Development Officer,12895
Non-Profit,Rugby Development Officer,7,Development Officer,11648,Development Officer,12895
Non-Profit,Museums Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Numeracy Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Dance Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,GSF Treviso Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Rhône Alpes Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Communication,50,Development Officer,11648,Development Officer,12895
Non-Profit,Stewardship Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Substance Misuse Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Music Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,CMN Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Individual Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Recreational Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Account Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,District Agribusiness Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Waste Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Development Officer Major,2,Development Officer,11648,Development Officer,12895
Non-Profit,Workcare Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Banking Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Oral Language Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Intercultural Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Family Learning Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Prospect Development Officer,9,Development Officer,11648,Development Officer,12895
Non-Profit,Municipal Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Grassroots Development Officer,1,Development Officer,11648,Development Officer,12895
Non-Profit,Team Development Officer,2,Development Officer,11648,Development Officer,12895
Non-Profit,Analytical Development Officer,2,Development Officer,11648,Development Officer,12895
